id,x,y,deg
141_0,s2.048743275000,s-0.061641778000,s66.848975152089
141_1,s2.293499147000,s0.000000000000,s246.670991529888
141_2,s3.195492848000,s-0.061641778000,s66.848975152089
141_3,s3.440248721000,s0.000000000000,s246.670991529888
141_4,s4.342242422000,s-0.061641778000,s66.848975152089
141_5,s4.586998295000,s0.000000000000,s246.670991529888
141_6,s5.488991996000,s-0.061641778000,s66.848975152089
141_7,s5.733747868000,s0.000000000000,s246.670991529888
141_8,s6.635741569000,s-0.061641778000,s66.848975152089
141_9,s0.000000000000,s0.577655939000,s246.670991529888
141_10,s0.901993701000,s0.516014161000,s66.848975152089
141_11,s1.146749574000,s0.577655939000,s246.670991529888
141_12,s2.048743275000,s0.516014161000,s66.848975152089
141_13,s2.293499147000,s0.577655939000,s246.670991529888
141_14,s3.195492848000,s0.516014161000,s66.848975152089
141_15,s3.440248721000,s0.577655939000,s246.670991529888
141_16,s4.342242422000,s0.516014161000,s66.848975152089
141_17,s4.586998295000,s0.577655939000,s246.670991529888
141_18,s5.488991996000,s0.516014161000,s66.848975152089
141_19,s5.733747868000,s0.577655939000,s246.670991529888
141_20,s6.635741569000,s0.516014161000,s66.848975152089
141_21,s0.000000000000,s1.155311878000,s246.670991529888
141_22,s0.901993701000,s1.093670100000,s66.848975152089
141_23,s1.146749574000,s1.155311878000,s246.670991529888
141_24,s2.048743275000,s1.093670100000,s66.848975152089
141_25,s2.293499147000,s1.155311878000,s246.670991529888
141_26,s3.195492848000,s1.093670100000,s66.848975152089
141_27,s3.440248721000,s1.155311878000,s246.670991529888
141_28,s4.342242422000,s1.093670100000,s66.848975152089
141_29,s4.586998295000,s1.155311878000,s246.670991529888
141_30,s5.488991996000,s1.093670100000,s66.848975152089
141_31,s5.733747868000,s1.155311878000,s246.670991529888
141_32,s6.635741569000,s1.093670100000,s66.848975152089
141_33,s0.000000000000,s1.732967817000,s246.670991529888
141_34,s0.901993701000,s1.671326039000,s66.848975152089
141_35,s1.146749574000,s1.732967817000,s246.670991529888
141_36,s2.048743275000,s1.671326039000,s66.848975152089
141_37,s2.293499147000,s1.732967817000,s246.670991529888
141_38,s3.195492848000,s1.671326039000,s66.848975152089
141_39,s3.440248721000,s1.732967817000,s246.670991529888
141_40,s4.342242422000,s1.671326039000,s66.848975152089
141_41,s4.586998295000,s1.732967817000,s246.670991529888
141_42,s5.488991996000,s1.671326039000,s66.848975152089
141_43,s5.733747868000,s1.732967817000,s246.670991529888
141_44,s6.635741569000,s1.671326039000,s66.848975152089
141_45,s0.000000000000,s2.310623757000,s246.670991529888
141_46,s0.901993701000,s2.248981978000,s66.848975152089
141_47,s1.146749574000,s2.310623757000,s246.670991529888
141_48,s2.048743275000,s2.248981978000,s66.848975152089
141_49,s2.293499147000,s2.310623757000,s246.670991529888
141_50,s3.195492848000,s2.248981978000,s66.848975152089
141_51,s3.440248721000,s2.310623757000,s246.670991529888
141_52,s4.342242422000,s2.248981978000,s66.848975152089
141_53,s4.586998295000,s2.310623757000,s246.670991529888
141_54,s5.488991996000,s2.248981978000,s66.848975152089
141_55,s5.733747868000,s2.310623757000,s246.670991529888
141_56,s6.635741569000,s2.248981978000,s66.848975152089
141_57,s0.000000000000,s2.888279696000,s246.670991529888
141_58,s0.901993701000,s2.826637918000,s66.848975152089
141_59,s1.146749574000,s2.888279696000,s246.670991529888
141_60,s2.048743275000,s2.826637918000,s66.848975152089
141_61,s2.293499147000,s2.888279696000,s246.670991529888
141_62,s3.195492848000,s2.826637918000,s66.848975152089
141_63,s3.440248721000,s2.888279696000,s246.670991529888
141_64,s4.342242422000,s2.826637918000,s66.848975152089
141_65,s4.586998295000,s2.888279696000,s246.670991529888
141_66,s5.488991996000,s2.826637918000,s66.848975152089
141_67,s5.733747868000,s2.888279696000,s246.670991529888
141_68,s6.635741569000,s2.826637918000,s66.848975152089
141_69,s0.000000000000,s3.465935635000,s246.670991529888
141_70,s0.901993701000,s3.404293857000,s66.848975152089
141_71,s1.146749574000,s3.465935635000,s246.670991529888
141_72,s2.048743275000,s3.404293857000,s66.848975152089
141_73,s2.293499147000,s3.465935635000,s246.670991529888
141_74,s3.195492848000,s3.404293857000,s66.848975152089
141_75,s3.440248721000,s3.465935635000,s246.670991529888
141_76,s4.342242422000,s3.404293857000,s66.848975152089
141_77,s4.586998295000,s3.465935635000,s246.670991529888
141_78,s5.488991996000,s3.404293857000,s66.848975152089
141_79,s5.733747868000,s3.465935635000,s246.670991529888
141_80,s6.635741569000,s3.404293857000,s66.848975152089
141_81,s0.000000000000,s4.043591574000,s246.670991529888
141_82,s0.901993701000,s3.981949796000,s66.848975152089
141_83,s1.146749574000,s4.043591574000,s246.670991529888
141_84,s2.048743275000,s3.981949796000,s66.848975152089
141_85,s2.293499147000,s4.043591574000,s246.670991529888
