id,x,y,deg
144_0,s0,s0,s293.39156553042295
144_1,s0.902308245,s0.058706109,s113.32316933027752
144_2,s1.148919257,s0,s293.39156553042295
144_3,s2.051227502,s0.058706109,s113.32316933027752
144_4,s2.297838514,s0,s293.39156553042295
144_5,s3.200146759,s0.058706109,s113.32316933027752
144_6,s3.446757771,s0,s293.39156553042295
144_7,s4.349066016,s0.058706109,s113.32316933027752
144_8,s4.595677028,s0,s293.39156553042295
144_9,s5.497985273,s0.058706109,s113.32316933027752
144_10,s5.744596285,s0,s293.39156553042295
144_11,s6.64690453,s0.058706109,s113.32316933027752
144_12,s0,s0.577414067,s293.39156553042295
144_13,s0.902308245,s0.636120176,s113.32316933027752
144_14,s1.148919257,s0.577414067,s293.39156553042295
144_15,s2.051227502,s0.636120176,s113.32316933027752
144_16,s2.297838514,s0.577414067,s293.39156553042295
144_17,s3.200146759,s0.636120176,s113.32316933027752
144_18,s3.446757771,s0.577414067,s293.39156553042295
144_19,s4.349066016,s0.636120176,s113.32316933027752
144_20,s4.595677028,s0.577414067,s293.39156553042295
144_21,s5.497985273,s0.636120176,s113.32316933027752
144_22,s5.744596285,s0.577414067,s293.39156553042295
144_23,s6.64690453,s0.636120176,s113.32316933027752
144_24,s0,s1.154828134,s293.39156553042295
144_25,s0.902308245,s1.213534244,s113.32316933027752
144_26,s1.148919257,s1.154828134,s293.39156553042295
144_27,s2.051227502,s1.213534244,s113.32316933027752
144_28,s2.297838514,s1.154828134,s293.39156553042295
144_29,s3.200146759,s1.213534244,s113.32316933027752
144_30,s3.446757771,s1.154828134,s293.39156553042295
144_31,s4.349066016,s1.213534244,s113.32316933027752
144_32,s4.595677028,s1.154828134,s293.39156553042295
144_33,s5.497985273,s1.213534244,s113.32316933027752
144_34,s5.744596285,s1.154828134,s293.39156553042295
144_35,s6.64690453,s1.213534244,s113.32316933027752
144_36,s0,s1.732242202,s293.39156553042295
144_37,s0.902308245,s1.790948311,s113.32316933027752
144_38,s1.148919257,s1.732242202,s293.39156553042295
144_39,s2.051227502,s1.790948311,s113.32316933027752
144_40,s2.297838514,s1.732242202,s293.39156553042295
144_41,s3.200146759,s1.790948311,s113.32316933027752
144_42,s3.446757771,s1.732242202,s293.39156553042295
144_43,s4.349066016,s1.790948311,s113.32316933027752
144_44,s4.595677028,s1.732242202,s293.39156553042295
144_45,s5.497985273,s1.790948311,s113.32316933027752
144_46,s5.744596285,s1.732242202,s293.39156553042295
144_47,s6.64690453,s1.790948311,s113.32316933027752
144_48,s0,s2.309656269,s293.39156553042295
144_49,s0.902308245,s2.368362378,s113.32316933027752
144_50,s1.148919257,s2.309656269,s293.39156553042295
144_51,s2.051227502,s2.368362378,s113.32316933027752
144_52,s2.297838514,s2.309656269,s293.39156553042295
144_53,s3.200146759,s2.368362378,s113.32316933027752
144_54,s3.446757771,s2.309656269,s293.39156553042295
144_55,s4.349066016,s2.368362378,s113.32316933027752
144_56,s4.595677028,s2.309656269,s293.39156553042295
144_57,s5.497985273,s2.368362378,s113.32316933027752
144_58,s5.744596285,s2.309656269,s293.39156553042295
144_59,s6.64690453,s2.368362378,s113.32316933027752
144_60,s0,s2.887070336,s293.39156553042295
144_61,s0.902308245,s2.945776445,s113.32316933027752
144_62,s1.148919257,s2.887070336,s293.39156553042295
144_63,s2.051227502,s2.945776445,s113.32316933027752
